Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","C_0805_2012Metric",123.250000,-164.250000,0.000000,top
"C2","1nf","C_0805_2012Metric",135.750000,-118.500000,-90.000000,top
"C3","10uf","C_0805_2012Metric",165.750000,-138.250000,-90.000000,top
"C4","10uf","C_0805_2012Metric",127.750000,-164.250000,180.000000,top
"C5","10uf","C_0805_2012Metric",168.250000,-138.250000,-90.000000,top
"C6","10uf","C_0805_2012Metric",155.500000,-122.000000,0.000000,top
"C7","0.1uf","C_0805_2012Metric",129.250000,-150.750000,0.000000,top
"C8","0.1uf","C_0805_2012Metric",127.750000,-166.250000,0.000000,top
"C9","10uf","C_0805_2012Metric",155.500000,-116.500000,0.000000,top
"C10","10uf","C_0805_2012Metric",123.250000,-166.250000,0.000000,top
"C11","0.1uf","C_0805_2012Metric",148.250000,-112.000000,90.000000,top
"C12","0.1uf","C_0805_2012Metric",150.250000,-112.000000,90.000000,top
"C13","1nf","C_0805_2012Metric",135.750000,-122.250000,90.000000,top
"C14","10uf","C_0805_2012Metric",137.750000,-118.500000,90.000000,top
"C15","10uf","C_0805_2012Metric",137.750000,-122.250000,-90.000000,top
"C16","1nf","C_0805_2012Metric",155.500000,-124.000000,180.000000,top
"C17","1nf","C_0805_2012Metric",155.500000,-118.500000,180.000000,top
"C18","0.1uf","C_0805_2012Metric",122.750000,-116.250000,0.000000,top
"C19","0.1uf","C_0805_2012Metric",126.000000,-118.500000,90.000000,top
"C20","0.01uf","C_0805_2012Metric",126.000000,-122.000000,-90.000000,top
"D1","1N5817","D_SOD-123",129.500000,-160.000000,90.000000,top
"D2","LED","LED_0805_2012Metric",141.500000,-164.500000,-90.000000,top
"R1","1M","R_0603_1608Metric",139.500000,-118.500000,-90.000000,top
"R2","7.5k","R_0603_1608Metric",152.250000,-123.000000,0.000000,top
"R3","100","R_0603_1608Metric",134.000000,-118.750000,90.000000,top
"R4","100","R_0603_1608Metric",134.000000,-122.250000,-90.000000,top
"R5","1M","R_0603_1608Metric",139.500000,-122.250000,90.000000,top
"R6","100","R_0603_1608Metric",168.250000,-135.000000,-90.000000,top
"R7","100","R_0603_1608Metric",165.750000,-135.000000,-90.000000,top
"R9","7.5k","R_0603_1608Metric",152.250000,-117.500000,0.000000,top
"R13","100","R_0603_1608Metric",145.175000,-114.750000,0.000000,top
"R14","100","R_0603_1608Metric",145.175000,-127.250000,0.000000,top
"R21","100","R_0603_1608Metric",152.750000,-163.250000,90.000000,top
"R22","10k","R_0603_1608Metric",154.250000,-163.250000,-90.000000,top
"R25","100","R_0603_1608Metric",158.750000,-116.500000,0.000000,top
"R26","100","R_0603_1608Metric",158.750000,-122.000000,0.000000,top
"R27","330","R_0603_1608Metric",141.500000,-161.250000,-90.000000,top
"U1","LM1117DT-5.0","TO-252-3_TabPin2",124.572500,-156.660000,90.000000,top
"U2","OPA1664D","SOIC-14_3.9x8.7mm_P1.27mm",147.000000,-120.250000,0.000000,top
"U4","TC2185-2.5VxCTTR","SOT-23-5",122.750000,-120.250000,0.000000,top
