Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, 9V1, AUDIO_IN1, AUDIO_RAW1, GND1, GND2",TestPoint_Pad_D2.0mm,6,TestPoint,
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4,C50984
"C1, C4",CP_EIA-3216-18_Kemet-A,2,10uf,C7171
"C10, C12, C8",0805,3,0.1uf,C49678
"C13, C16, C17, C2",0805,4,1nf,C46653
"C14, C15, C3, C5, C6, C9",0805,6,10uf,C440198
"C18, C19",0805,2,1uf,C28323
D1,D_SOD-123,1,1N5817,C8598
D2,0805,1,LED,C2297
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,C8465
J3,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C16214
J4,Jack_6.35mm_Neutrik_NMJ6HCD3_Horizontal,1,AUDIO_IN_TRS,
J5,Jack_6.35mm_Neutrik_NMJ6HCD3_Horizontal,1,AUDIO_OUT_TRS,
"R1, R5",0603,2,1M,C22935
"R13, R14, R21, R25, R26, R3, R4, R6, R7",0603,9,100,C22775
"R2, R9",0603,2,7.5k,C23234
R22,0603,1,10k,C25804
R27,0603,1,330,C23138
U1,TO-252-3_TabPin2,1,LM1117DT-5.0,C354068
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,OPA1664D,C69414
U4,SOT-23-5,1,LP5907MFX-2.5,C165132
